ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
DangerousSavanna,658,,,Senegal|Togo|Cameroon|Morocco|Ivory Coast,0
Cyber Av3ngers,90,,,,0
Cosmic Lynx,288,,,,0
CardinalLizard,572,CardinalLizard,,Russia|Philippines|Mongolia|Malaysia,0
XENOTIME,434,TEMP.Veles|ATK91|G0088|ATK 91|XENOTIME|Xenotime,Mining|Energy & Utilities |Manufacturing,Saudi Arabia|USA|others,0
UNC4990,152,,,,7
Storm-0539,20,,,,0
APT24,543,PITTYPANDA|PITTY PANDA|Temp.Pittytiger|G0011,,,0
Earth Wendigo,238,Earth Wendigo,Educational Services|Public Administration,Hong Kong|Taiwan,0
Cold River,39,Calisto|Nahrelbared|NahrElbard|CobaltEdgewater|UNC4057|Nahr Elbard|Blue Callisto|Star Blizzard|Seaborgium|Cold River|BlueCharlie|Cobalt Edgewater|ColdRiver|TAG-53|TA446|BlueCallisto|StarBlizzard|Nahr el bared,National Security&International Affairs,UAE|NATO|USA|Lebanon|India|Canada|Ukraine,6
Winter Vivern,50,WinterVivern|UNC4907|TAG-70|TA-473|Winter Vivern|TA473|UAC-0114,Public Administration|National Security&International Affairs,Europe|Estonia|Uzbekistan|Lithuania|Tunisia|USA|Slovakia|Germany|Moldova|Georgia|Poland|India|Ukraine,12
MalKamak,390,MalKamak|Operation GhostShell,Telecommunications|Space & Defense,Russia|USA|Europe and Middle East,0
Roaming Mantis,219,RoamingMantisGroup|Roaming Mantis Group,,,1323
TiltedTemple,639,DEV-0322|CircleTyphoon|Circle Typhoon,,,0
Pink Sandstorm,540,BlackShadow|DEV-0022|Agrius|Pink Sandstorm|DEV-0227|Agonizing Serpens|AMERICIUM|SharpBoys|AgonizingSerpens|PinkSandstorm,,Israel|Hong Kong|South Africa,0
TINY SPIDER,723,Tiny Spider,Retail,Worldwide,0
SandCat,726,SandCat,,Saudi Arabia|Middle East,0
Orangeworm,272,Orangeworm,Agriculture&Forestry|Manufacturing|HealthCare & Social Assistance,China|Malaysia|Sweden|Germany|Hungary|Belgium|Philippines|Turkey|France|Switzerland|Chile|Saudi Arabia|Poland|Brazil|Hong Kong|UK|Netherlands|India|Norway|USA|Canada|Spain,0
Twisted Panda,216,Twisted Panda|TwistedPanda,National Security&International Affairs,Belarus|Russia,0
ToddyCat,61,ToddyCat|Websiic,Public Administration|Telecommunications|National Security&International Affairs,Russia|Kazakhstan|Uzbekistan|Iran|Thailand|Kyrgyzstan|Afghanistan|United Kingdom|Indonesia|Vietnam|Slovakia|Pakistan|Malaysia|Taiwan|UK|India,199
MIMIC SPIDER,424,,,,0
Pale Panda,677,,,,0
DOPPEL SPIDER,167,DoppelSpider|Doppel Spider|GOLD HERON|GoldHeron|Grief Group|GOLDHERON|Gold Heron|GriefGroup,Manufacturing|Public Administration,Switzerland|Mexico|Dominican Republic|Thailand|Chile|USA|Austria|Germany|UK|Portugal|Italy|Canada|Greece|Brazil|France|Spain,377
HOUND SPIDER,125,,,,0
Moskalvzapoe,688,MAN1|TA511,,,0
AridViper,642,Mantis|ATK66|APT-C-23|FrozenCell|Two-tailedScorpion|RenegadeJackal|DESERTVARNISH|AridViper|TAG-CT1|APT-C-23|UNC718|AridViper|DESERTVARNISH|Micropsia|UNC718|DesertFalcon|RenegadeJackal|DesertFalcon,Manufacturing|Public Administration|Educational Services|Energy & Utilities |Justice & Safety Activities|National Security&International Affairs|Civic&Social Organizations|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|Finance,"Saudi Arabia|Bahrain|China|Kuwait|Qatar|Bosnia and Herzegovina|Egypt|Turkey|Palestine|Morocco|Libya|Middle East|Germany|Taiwan, Province of China|Palestine, State of|Pakistan|Belgium|United States|Canada|Australia|Norway|Sweden|Iraq|Lebanon|United Arab Emirates|Japan|Iran, Islamic Republic of|Syrian Arab Republic|Italy|Denmark|Cyprus|France|Uzbekistan|Ukraine|Algeria|Europe|Jordan|Zimbabwe|Netherlands|Korea, Republic of|Mexico|Mali|Oman|Greece|Yemen|India|Portugal|Hungary|Albania|Israel|Romania|Russian Federation|Sudan|Mauritania",277
RATPAK SPIDER,525,,,,0
Hezb,237,Mimo,,,55
WildPressure,409,WilePressure,Mining|Other,Middle East,564
Operation Soft Cell,468,,,,0
TA2536,327,,,,0
Karkadann,577,Karkadann|Piwiks,Public Administration,Middle East,0
Nazar,384,Nazar|SIG37,,,0
APT32,297,APT-LY-100|ATK 17|SeaLotus|Pond Loach|APT 32|Tin Woodlawn|OceanLotus|APT-C-00|Lotus Bane|SectorF01|Ocean Buffalo,Manufacturing|Public Administration|National Security&International Affairs|Telecommunications|Retail|Electrical&Electronical Manufacturing|Finance|HealthCare & Social Assistance,China|Brunei|Indonesia|Malaysia|Germany|Myanmar|Philippines|Cambodia|Australia|Vietnam|Denmark|Iran|Laos|UK|Netherlands|India|South Korea|Nepal|Japan|Thailand|Bangladesh|USA|Singapore|ASEAN,3979
Storm-0381,641,DEV-0381,,,0
Wekby,311,Wekby|TG-0416|Salmon Typhoo|Scandium|APT 4|Maverick Panda|TG-0623|Dynamite Panda|Sodium|Sykipot|APT 18|Samurai Panda|Wisp Team|Bronze Edison,Air Transportation|Construction|Public Administration|Educational Services|Space & Defense|National Security&International Affairs|Telecommunications|Transportation&Warehousing|Electrical&Electronical Manufacturing|HealthCare & Social Assistance,Japan|USA|Hong Kong|UK|South Korea,1389
DriftingCloud,218,,,,0
Carderbee,506,Carderbee,,Hong Kong|Asia,0
Unit 8200,37,DuquGroup|Duqu Group,Other|Public Administration|National Security&International Affairs,Sudan|Iran,0
LazyScripter,657,LazyScripter,Air Transportation,Canada,0
Danti,710,,,,0
Volt Typhoon,30,Dev-0391|Bronze Silhouette|Vanguard Panda|BronzeSilhouette|VanguardPanda|BRONZE SILHOUETTE|Insidious Taurus|InsidiousTaurus|Storm-0391|VOLTZITE|Volt Typhoon|VANGUARDPANDA|VANGUARD PANDA|VoltTyphoon|BRONZESILHOUETTE|UNC3236,Energy & Utilities |Construction|Manufacturing|Transportation&Warehousing|Educational Services|Other|Public Administration|Telecommunications,USA|India|Australia|UK,189
DragonOK,6,Bronze Overbrook|Shallow Taurus|DragonOK|Moafee,Manufacturing|Other|Public Administration|Electrical&Electronical Manufacturing|National Security&International Affairs,Tibet|Russia|“countries with national interests in the South China Sea”|Japan|Cambodia|USA|Hong Kong|Taiwan|Philippines|United States,320
xHunt,186,Cobalt Katana|Hive0081 (IBM)|HunterSerpens|Hunter Serpens|CobaltKatana|SectorD01 (NHSC)|SectorD01|Hive0081|xHunt|xHunt campaign (Palo Alto),,Kuwait,30
Smishing Triad,245,,,,0
EXOTIC LILY,263,DEV-0413,,,30
Operation Silent Skimmer,271,OperationSilentSkimmer|Operation Silent Skimmer,,USA|Asia Pacific,0
Cyber Army of Russia Reborn,73,,,,0
HenBox,338,,Civic&Social Organizations,Uighurs,950
Storm-1167,632,DEV-1167,,,0
UNC1878,679,,,,0
SCATTERED SPIDER,96,,,,192
